candidate_id,rank,score,reasoning
CAND_0077337,17,0.6311,"Staff Machine Learning Engineer with 7.0 yrs exp at Paytm. Core AI/ML skills: Semantic Search, QLoRA, Pinecone, BM25. Active GitHub contributor (score 68/100). Excellent recruiter responsiveness (95%)."
CAND_0086022,18,0.6302,"Senior Applied Scientist with 5.3 yrs exp at Sarvam AI. Core AI/ML skills: Vector Search, Recommendation Systems, Deep Learning, Fine-tuning LLMs. Immediately available (Open to Work, 0d notice). Active GitHub contributor (score 75/100)."
CAND_0079387,19,0.6208,"AI Engineer with 6.9 yrs exp at Microsoft. Core AI/ML skills: scikit-learn, Recommendation Systems, Python, Sentence Transformers. Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 64/100). Excellent recruiter responsiveness (81%)."
CAND_0081053,20,0.5792,"NLP Engineer with 5.4 yrs exp at Glance. Core AI/ML skills: LoRA, QLoRA, Qdrant, Machine Learning. Strong semantic alignment with JD (ranking, retrieval, embeddings). Active GitHub contributor (score 78/100). Excellent recruiter responsiveness (83%)."
CAND_0040117,21,0.5744,"Recommendation Systems Engineer with 6.5 yrs exp at PhonePe. Core AI/ML skills: Embeddings, RAG, FAISS, BM25. Immediately available (Open to Work, 15d notice)."
CAND_0065878,22,0.5653,"Senior Data Scientist with 7.8 yrs exp at Niramai. Core AI/ML skills: scikit-learn, RAG, QLoRA, TensorFlow. Immediately available (Open to Work, 15d notice)."
CAND_0052682,23,0.5637,"NLP Engineer with 6.6 yrs exp at Aganitha. Core AI/ML skills: QLoRA, Semantic Search, FAISS, PyTorch. Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 72/100). Excellent recruiter responsiveness (88%)."
CAND_0075249,24,0.5637,"Applied ML Engineer with 6.2 yrs exp at Zomato. Core AI/ML skills: Sentence Transformers, Milvus, Machine Learning, Fine-tuning LLMs. Strong semantic alignment with JD (ranking, retrieval, embeddings). Excellent recruiter responsiveness (82%)."
CAND_0018549,25,0.5452,"Recommendation Systems Engineer with 6.8 yrs exp at Uber. Core AI/ML skills: Weaviate, Kubernetes, Elasticsearch, LangChain. Strong semantic alignment with JD (ranking, retrieval, embeddings). Excellent recruiter responsiveness (73%)."
CAND_0078002,26,0.5447,"Machine Learning Engineer with 6.3 yrs exp at Meta. Core AI/ML skills: TensorFlow, NLP, scikit-learn, Hugging Face Transformers. Excellent recruiter responsiveness (86%)."
CAND_0044855,27,0.5409,"Senior Data Scientist with 6.6 yrs exp at Flipkart. Core AI/ML skills: Learning to Rank, Hugging Face Transformers, OpenSearch, Information Retrieval."
CAND_0010257,28,0.5341,"Senior Data Scientist with 6.5 yrs exp at Google. Core AI/ML skills: Milvus, TensorFlow, Python, OpenSearch. Excellent recruiter responsiveness (72%)."
CAND_0095528,29,0.518,"Senior Data Scientist with 5.3 yrs exp at Netflix. Core AI/ML skills: OpenSearch, PyTorch, Semantic Search, Vector Search."
CAND_0041669,30,0.5057,"Recommendation Systems Engineer with 8.0 yrs exp at CRED. Core AI/ML skills: FAISS, Milvus, PEFT, QLoRA. Active GitHub contributor (score 71/100). Excellent recruiter responsiveness (77%)."
CAND_0009691,31,0.5034,"Applied ML Engineer with 6.2 yrs exp at LinkedIn. Core AI/ML skills: Recommendation Systems, Fine-tuning LLMs, LoRA, Pinecone. Active GitHub contributor (score 68/100)."
CAND_0009024,32,0.4945,"Search Engineer with 5.2 yrs exp at Google. Core AI/ML skills: Qdrant, PEFT, FAISS, Machine Learning. Immediately available (Open to Work, 30d notice)."
CAND_0005538,33,0.4896,"Senior AI Engineer with 5.9 yrs exp at Adobe. Core AI/ML skills: Deep Learning, QLoRA, Python, PyTorch. Excellent recruiter responsiveness (81%)."
CAND_0087630,34,0.473,"AI Engineer with 7.2 yrs exp at Vedantu. Core AI/ML skills: Elasticsearch, NLP, Learning to Rank, Deep Learning. Notice period 30d - ready to start soon."
CAND_0068811,35,0.4684,"Applied ML Engineer with 8.0 yrs exp at Freshworks. Core AI/ML skills: Vector Search, Qdrant, scikit-learn, TensorFlow. Immediately available (Open to Work, 30d notice)."
CAND_0064326,36,0.4668,"Search Engineer with 7.6 yrs exp at Sarvam AI. Core AI/ML skills: scikit-learn, PyTorch, Milvus, Deep Learning. Active GitHub contributor (score 61/100). Excellent recruiter responsiveness (94%)."
CAND_0093193,37,0.4488,"Senior Machine Learning Engineer with 7.9 yrs exp at Niramai. Core AI/ML skills: Ranking Systems, Qdrant, OpenSearch, TensorFlow."
CAND_0005649,38,0.4439,"Senior Data Scientist with 7.4 yrs exp at Sarvam AI. Core AI/ML skills: Deep Learning, TensorFlow, Fine-tuning LLMs, Recommendation Systems. Active GitHub contributor (score 81/100)."
CAND_0057563,39,0.4399,"NLP Engineer with 6.8 yrs exp at Locobuzz. Core AI/ML skills: Deep Learning, RAG, Elasticsearch, OpenSearch. Excellent recruiter responsiveness (83%)."
CAND_0096142,40,0.427,"Applied ML Engineer with 5.0 yrs exp at upGrad. Core AI/ML skills: LoRA, Weaviate, Pinecone, Python. Active GitHub contributor (score 80/100). Excellent recruiter responsiveness (84%)."
CAND_0066376,41,0.4249,"Applied ML Engineer with 5.7 yrs exp at Dream11. Core AI/ML skills: Recommendation Systems, LoRA, Learning to Rank, LLMs. Strong semantic alignment with JD (ranking, retrieval, embeddings)."
CAND_0050876,42,0.4224,"Applied ML Engineer with 6.0 yrs exp at Freshworks. Core AI/ML skills: Qdrant, MLOps, FAISS, scikit-learn. Active GitHub contributor (score 86/100)."
CAND_0006418,43,0.4195,"Machine Learning Engineer with 5.7 yrs exp at Verloop.io. Core AI/ML skills: Kubernetes, Semantic Search, Embeddings, TensorFlow. Excellent recruiter responsiveness (92%)."
CAND_0006557,44,0.415,"NLP Engineer with 7.9 yrs exp at Paytm. Core AI/ML skills: Elasticsearch, OpenSearch, Vector Search, Weaviate. Strong semantic alignment with JD (ranking, retrieval, embeddings)."
CAND_0027691,45,0.4065,"NLP Engineer with 6.5 yrs exp at Haptik. Core AI/ML skills: LoRA, PEFT, Recommendation Systems, Weaviate. Immediately available (Open to Work, 15d notice)."
CAND_0061257,46,0.4039,"Staff Machine Learning Engineer with 8.0 yrs exp at LinkedIn. Core AI/ML skills: PEFT, Machine Learning, Information Retrieval Systems, Search Infrastructure. Immediately available (Open to Work, 30d notice). Excellent recruiter responsiveness (87%)."
CAND_0006567,47,0.3981,"Senior AI Engineer with 7.9 yrs exp at Meta. Core AI/ML skills: scikit-learn, Search Backend, BM25, NLP. Excellent recruiter responsiveness (79%)."
CAND_0030031,48,0.3963,"AI Engineer with 5.7 yrs exp at Microsoft. Core AI/ML skills: Information Retrieval, PyTorch, Python, NLP. Notice period 30d - ready to start soon. Excellent recruiter responsiveness (94%)."
CAND_0042100,49,0.3911,"Machine Learning Engineer with 7.3 yrs exp at Freshworks. Core AI/ML skills: Elasticsearch, Learning to Rank, Recommendation Systems, Semantic Search. Excellent recruiter responsiveness (87%)."
CAND_0037944,50,0.3876,"Senior Data Scientist with 4.9 yrs exp at Vedantu. Core AI/ML skills: Vector Search, Machine Learning, QLoRA, OpenSearch. Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 83/100)."
CAND_0083879,51,0.3837,"Machine Learning Engineer with 7.1 yrs exp at Ola. Core AI/ML skills: MLOps, Fine-tuning LLMs, Milvus, scikit-learn. Immediately available (Open to Work, 30d notice)."
CAND_0086151,52,0.3797,"Recommendation Systems Engineer with 7.7 yrs exp at Wysa. Core AI/ML skills: LangChain, Recommendation Systems, Qdrant, OpenSearch."
CAND_0042506,53,0.3778,"Search Engineer with 4.2 yrs exp at Verloop.io. Core AI/ML skills: PEFT, scikit-learn, Semantic Search, Fine-tuning LLMs. Strong semantic alignment with JD (ranking, retrieval, embeddings). Immediately available (Open to Work, 15d notice). Active GitHub contributor (score 64/100)."
CAND_0052328,54,0.3701,"Recommendation Systems Engineer with 6.5 yrs exp at Amazon. Core AI/ML skills: LoRA, OpenSearch, QLoRA, Recommendation Systems. Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 78/100). Excellent recruiter responsiveness (79%)."
CAND_0039383,55,0.3655,"Applied ML Engineer with 7.1 yrs exp at Meesho. Core AI/ML skills: FAISS, Recommendation Systems, Hugging Face Transformers, QLoRA. Active GitHub contributor (score 86/100)."
CAND_0068351,56,0.3643,"Lead AI Engineer with 6.4 yrs exp at Sarvam AI. Core AI/ML skills: Deep Learning, Qdrant, Elasticsearch, PEFT. Strong semantic alignment with JD (ranking, retrieval, embeddings). Notice period 0d - ready to start soon. Excellent recruiter responsiveness (86%)."
CAND_0017960,57,0.3618,"Recommendation Systems Engineer with 7.7 yrs exp at Nykaa. Core AI/ML skills: QLoRA, Hugging Face Transformers, Machine Learning, Qdrant. Active GitHub contributor (score 92/100). Excellent recruiter responsiveness (72%)."
CAND_0011432,58,0.3537,"Senior Data Scientist with 7.6 yrs exp at Amazon. Core AI/ML skills: MLOps, OpenSearch, AWS, PEFT."
CAND_0030953,59,0.3509,"Search Engineer with 7.8 yrs exp at Nykaa. Core AI/ML skills: MLOps, Learning to Rank, Qdrant, Python."
CAND_0015528,60,0.3508,"Applied ML Engineer with 7.4 yrs exp at Krutrim. Core AI/ML skills: Docker, Weaviate, LangChain, TensorFlow. Notice period 30d - ready to start soon."
CAND_0055992,61,0.3495,"AI Engineer with 16.9 yrs exp at CRED. Core AI/ML skills: Information Retrieval, FAISS, RAG, LangChain. Active GitHub contributor (score 65/100). Excellent recruiter responsiveness (72%)."
CAND_0037566,62,0.3461,"Machine Learning Engineer with 6.9 yrs exp at LinkedIn. Core AI/ML skills: Pinecone, NLP, LoRA, QLoRA. Immediately available (Open to Work, 15d notice). Active GitHub contributor (score 73/100)."
CAND_0050454,63,0.3442,"AI Engineer with 6.8 yrs exp at Rephrase.ai. Core AI/ML skills: PyTorch, LangChain, QLoRA, Fine-tuning LLMs. Immediately available (Open to Work, 30d notice). Excellent recruiter responsiveness (77%)."
CAND_0049896,64,0.3374,"Search Engineer with 7.3 yrs exp at Unacademy. Core AI/ML skills: LangChain, Sentence Transformers, PyTorch, Information Retrieval."
CAND_0066999,65,0.3372,"Recommendation Systems Engineer with 5.9 yrs exp at Microsoft. Core AI/ML skills: OpenSearch, FAISS, LLMs, Pinecone. Immediately available (Open to Work, 15d notice). Active GitHub contributor (score 94/100)."
CAND_0031593,66,0.3371,"Search Engineer with 7.8 yrs exp at Genpact AI. Core AI/ML skills: Hugging Face Transformers, Recommendation Systems, GCP, BM25."
CAND_0007009,67,0.3351,"Recommendation Systems Engineer with 7.9 yrs exp at Wysa. Core AI/ML skills: Weaviate, Python, Embeddings, Learning to Rank. Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 69/100)."
CAND_0042029,68,0.3348,"Senior Data Scientist with 6.5 yrs exp at Flipkart. Core AI/ML skills: PyTorch, NLP, RAG, Elasticsearch. Active GitHub contributor (score 79/100)."
CAND_0047721,69,0.3342,"Senior Data Scientist with 7.0 yrs exp at Microsoft. Core AI/ML skills: Learning to Rank, MLOps, Milvus, BM25. Active GitHub contributor (score 90/100)."
CAND_0062247,70,0.3339,"AI Engineer with 7.3 yrs exp at Google. Core AI/ML skills: Pinecone, Vector Search, Qdrant, RAG. Immediately available (Open to Work, 30d notice). Excellent recruiter responsiveness (78%)."
CAND_0005260,71,0.3275,"Senior NLP Engineer with 5.2 yrs exp at Netflix. Core AI/ML skills: MLOps, Information Retrieval, Semantic Search, Deep Learning. Excellent recruiter responsiveness (86%)."
CAND_0028793,72,0.3265,"Search Engineer with 7.2 yrs exp at Google. Core AI/ML skills: Embeddings, LoRA, Learning to Rank, Information Retrieval. Active GitHub contributor (score 83/100)."
CAND_0041610,73,0.3229,"Recommendation Systems Engineer with 6.7 yrs exp at Zoho. Core AI/ML skills: LoRA, Elasticsearch, OpenSearch, LangChain. Immediately available (Open to Work, 30d notice)."
CAND_0070398,74,0.3147,"Machine Learning Engineer with 7.2 yrs exp at Genpact AI. Core AI/ML skills: BM25, RAG, FAISS, Embeddings. Active GitHub contributor (score 63/100)."
CAND_0061265,75,0.3051,"Recommendation Systems Engineer with 6.6 yrs exp at Zoho. Core AI/ML skills: Qdrant, LangChain, Learning to Rank, Vector Search. Active GitHub contributor (score 80/100). Excellent recruiter responsiveness (94%)."
CAND_0072660,76,0.298,"Machine Learning Engineer with 7.1 yrs exp at Unacademy. Core AI/ML skills: LoRA, PyTorch, Information Retrieval, OpenSearch. Immediately available (Open to Work, 30d notice)."
CAND_0093912,77,0.2961,"Senior Data Scientist with 5.3 yrs exp at Razorpay. Core AI/ML skills: Milvus, Embeddings, Recommendation Systems, Vector Search. Immediately available (Open to Work, 30d notice). Active GitHub contributor (score 82/100)."
CAND_0081686,78,0.2931,"Search Engineer with 6.0 yrs exp at Netflix. Core AI/ML skills: Machine Learning, Embeddings, FAISS, Milvus. Excellent recruiter responsiveness (91%)."
CAND_0013613,79,0.2893,"Machine Learning Engineer with 4.7 yrs exp at Adobe. Core AI/ML skills: LoRA, TensorFlow, Weaviate, Sentence Transformers. Active GitHub contributor (score 67/100). Excellent recruiter responsiveness (73%)."
CAND_0075574,80,0.2855,"Machine Learning Engineer with 5.7 yrs exp at Haptik. Core AI/ML skills: Hugging Face Transformers, Weaviate, Recommendation Systems, OpenSearch."
CAND_0041568,81,0.2832,"Search Engineer with 5.2 yrs exp at Haptik. Core AI/ML skills: PEFT, Weaviate, Vector Search, TensorFlow."
CAND_0079284,82,0.2812,"Machine Learning Engineer with 4.9 yrs exp at Google. Core AI/ML skills: Recommendation Systems, scikit-learn, QLoRA, Qdrant. Strong semantic alignment with JD (ranking, retrieval, embeddings). Notice period 30d - ready to start soon. Excellent recruiter responsiveness (79%)."
CAND_0095619,83,0.2807,"NLP Engineer with 15.6 yrs exp at Nykaa. Core AI/ML skills: Pinecone, Learning to Rank, scikit-learn, Hugging Face Transformers. Immediately available (Open to Work, 30d notice). Excellent recruiter responsiveness (90%)."
CAND_0018722,84,0.279,"Recommendation Systems Engineer with 6.6 yrs exp at Saarthi.ai. Core AI/ML skills: Weaviate, Python, Recommendation Systems, LLMs. Active GitHub contributor (score 94/100). Excellent recruiter responsiveness (79%)."
CAND_0010685,85,0.2758,"NLP Engineer with 6.7 yrs exp at Rephrase.ai. Core AI/ML skills: Deep Learning, PyTorch, Information Retrieval, Elasticsearch. Immediately available (Open to Work, 30d notice). Excellent recruiter responsiveness (83%)."
CAND_0045250,86,0.2644,"Applied ML Engineer with 6.6 yrs exp at Rephrase.ai. Core AI/ML skills: Sentence Transformers, Milvus, LoRA, Embeddings. Notice period 15d - ready to start soon. Excellent recruiter responsiveness (74%)."
CAND_0000031,87,0.2612,"Recommendation Systems Engineer with 6.0 yrs exp at Swiggy. Core AI/ML skills: FAISS, Pinecone, Machine Learning, MLOps. Excellent recruiter responsiveness (91%)."
CAND_0053695,88,0.2605,"Recommendation Systems Engineer with 5.8 yrs exp at Meesho. Core AI/ML skills: MLOps, GCP, Pinecone, LangChain. Immediately available (Open to Work, 15d notice). Active GitHub contributor (score 68/100)."
CAND_0098846,89,0.2591,"AI Engineer with 7.6 yrs exp at upGrad. Core AI/ML skills: Hugging Face Transformers, PEFT, QLoRA, Machine Learning. Active GitHub contributor (score 86/100)."
CAND_0074735,90,0.254,"Applied ML Engineer with 5.5 yrs exp at Rephrase.ai. Core AI/ML skills: RAG, Machine Learning, Weaviate, Information Retrieval. Active GitHub contributor (score 88/100). Excellent recruiter responsiveness (77%)."
CAND_0029367,91,0.2458,"Senior Data Scientist with 5.7 yrs exp at Rephrase.ai. Core AI/ML skills: TensorFlow, QLoRA, FAISS, Sentence Transformers. Excellent recruiter responsiveness (77%)."
CAND_0069905,92,0.2444,"Applied ML Engineer with 6.6 yrs exp at Sarvam AI. Core AI/ML skills: LoRA, Recommendation Systems, Sentence Transformers, LangChain. Excellent recruiter responsiveness (78%)."
CAND_0013536,93,0.239,"Applied ML Engineer with 14.1 yrs exp at Haptik. Core AI/ML skills: PyTorch, LLMs, NLP, Embeddings. Excellent recruiter responsiveness (87%)."
CAND_0060054,94,0.2377,"AI Engineer with 6.4 yrs exp at Mad Street Den. Core AI/ML skills: TensorFlow, Weaviate, FAISS, Elasticsearch. Notice period 15d - ready to start soon. Excellent recruiter responsiveness (86%)."
CAND_0011162,95,0.2247,"Recommendation Systems Engineer with 5.8 yrs exp at upGrad. Core AI/ML skills: FAISS, Vector Search, LangChain, LoRA. Excellent recruiter responsiveness (75%)."
CAND_0079064,96,0.2238,"Senior Data Scientist with 5.2 yrs exp at Niramai. Core AI/ML skills: OpenSearch, NLP, Semantic Search, Fine-tuning LLMs. Excellent recruiter responsiveness (91%)."
CAND_0077285,97,0.2149,"Recommendation Systems Engineer with 5.5 yrs exp at Nykaa. Core AI/ML skills: LoRA, Pinecone, Sentence Transformers, Embeddings. Active GitHub contributor (score 76/100)."
CAND_0010770,98,0.2098,"Recommendation Systems Engineer with 15.2 yrs exp at Aganitha. Core AI/ML skills: Qdrant, Deep Learning, Learning to Rank, TensorFlow. Immediately available (Open to Work, 30d notice). Excellent recruiter responsiveness (73%)."
CAND_0083307,99,0.2029,"Search Engineer with 7.8 yrs exp at CRED. Core AI/ML skills: scikit-learn, Embeddings, QLoRA, PEFT. Active GitHub contributor (score 69/100). Excellent recruiter responsiveness (70%)."
CAND_0052335,100,0.2,"Applied ML Engineer with 6.4 yrs exp at Aganitha. Core AI/ML skills: PyTorch, Machine Learning, Learning to Rank, NLP. Excellent recruiter responsiveness (79%)."
